date,forecast,variable,actual,model,granularity
30-01-2022,21.68616092,RemediSol,23,prophet,M
27-02-2022,20.7725141,RemediSol,12,prophet,M
30-03-2022,22.14911675,RemediSol,19,prophet,M
29-04-2022,21.49151333,RemediSol,22,prophet,M
30-05-2022,22.62546012,RemediSol,26,prophet,M
29-06-2022,22.6944606,RemediSol,25,prophet,M
30-07-2022,22.47830823,RemediSol,20,prophet,M
30-08-2022,23.61291643,RemediSol,26,prophet,M
29-09-2022,23.37937598,RemediSol,16,prophet,M
30-10-2022,24.11398185,RemediSol,7,prophet,M
30-01-2022,260.7094338,Vitalisol,386,prophet,M
27-02-2022,315.9023709,Vitalisol,226,prophet,M
30-03-2022,323.3133071,Vitalisol,257,prophet,M
29-04-2022,301.6032192,Vitalisol,259,prophet,M
30-05-2022,270.0266042,Vitalisol,322,prophet,M
29-06-2022,271.2600456,Vitalisol,142,prophet,M
30-07-2022,233.2745886,Vitalisol,115,prophet,M
30-08-2022,236.9397024,Vitalisol,145,prophet,M
29-09-2022,288.2814299,Vitalisol,161,prophet,M
30-10-2022,391.5696679,Vitalisol,37,prophet,M
30-01-2022,57.32229162,RestoraZen,41.3,prophet,M
27-02-2022,58.98040092,RestoraZen,69.5,prophet,M
30-03-2022,100.5532152,RestoraZen,169.5,prophet,M
29-04-2022,148.865711,RestoraZen,179.1,prophet,M
30-05-2022,174.91205,RestoraZen,135.4,prophet,M
29-06-2022,143.5332509,RestoraZen,156.04,prophet,M
30-07-2022,120.3302671,RestoraZen,105.2,prophet,M
30-08-2022,97.73561199,RestoraZen,97.3,prophet,M
29-09-2022,88.32048643,RestoraZen,109.1,prophet,M
30-10-2022,84.9976795,RestoraZen,11.13,prophet,M
30-01-2022,143,RemediMax,179.7,DeepAR,M
27-02-2022,168,RemediMax,133.73,DeepAR,M
30-03-2022,162,RemediMax,154.52,DeepAR,M
29-04-2022,136,RemediMax,161.39,DeepAR,M
30-05-2022,144,RemediMax,168.04,DeepAR,M
29-06-2022,139,RemediMax,151.54,DeepAR,M
30-07-2022,139,RemediMax,181,DeepAR,M
30-08-2022,143,RemediMax,181.91,DeepAR,M
29-09-2022,158,RemediMax,161.07,DeepAR,M
30-10-2022,145,RemediMax,44.37,DeepAR,M
30-01-2022,108,VitaFlux,222.351,DeepAR,M
27-02-2022,107,VitaFlux,142.155,DeepAR,M
30-03-2022,101,VitaFlux,113.118,DeepAR,M
29-04-2022,112,VitaFlux,100.165,DeepAR,M
30-05-2022,124,VitaFlux,97.258,DeepAR,M
29-06-2022,104,VitaFlux,101.627,DeepAR,M
30-07-2022,114,VitaFlux,103.541,DeepAR,M
30-08-2022,115,VitaFlux,88.269,DeepAR,M
29-09-2022,110,VitaFlux,111.437,DeepAR,M
30-10-2022,113,VitaFlux,37.3,DeepAR,M
30-01-2022,119,SynaptraZol,99.7,DeepAR,M
27-02-2022,83,SynaptraZol,110.2,DeepAR,M
30-03-2022,90,SynaptraZol,83.35,DeepAR,M
29-04-2022,82,SynaptraZol,88.1,DeepAR,M
30-05-2022,88,SynaptraZol,104.1,DeepAR,M
29-06-2022,86,SynaptraZol,103.2,DeepAR,M
30-07-2022,83,SynaptraZol,92.8,DeepAR,M
30-08-2022,73,SynaptraZol,84.2,DeepAR,M
29-09-2022,96,SynaptraZol,93.5,DeepAR,M
30-10-2022,78,SynaptraZol,20.65,DeepAR,M
30-01-2022,1023,NeuroRevive,1660.612,DeepAR,M
27-02-2022,853,NeuroRevive,1001.212,DeepAR,M
30-03-2022,666,NeuroRevive,941.05,DeepAR,M
29-04-2022,614,NeuroRevive,647.65,DeepAR,M
30-05-2022,721,NeuroRevive,703.562,DeepAR,M
29-06-2022,749,NeuroRevive,610,DeepAR,M
30-07-2022,1083,NeuroRevive,649.8,DeepAR,M
30-08-2022,1154,NeuroRevive,518.1,DeepAR,M
29-09-2022,1000,NeuroRevive,984.48,DeepAR,M
30-10-2022,1226,NeuroRevive,295.15,DeepAR,M
30-01-2022,383,Immunoxen,295.2,DeepAR,M
27-02-2022,285,Immunoxen,249.4,DeepAR,M
30-03-2022,257,Immunoxen,301.4,DeepAR,M
29-04-2022,253,Immunoxen,299.4,DeepAR,M
30-05-2022,281,Immunoxen,265.8,DeepAR,M
29-06-2022,254,Immunoxen,193,DeepAR,M
30-07-2022,265,Immunoxen,250.6,DeepAR,M
30-08-2022,291,Immunoxen,237,DeepAR,M
29-09-2022,249,Immunoxen,227.8,DeepAR,M
30-10-2022,254,Immunoxen,86,DeepAR,M
30-01-2022,41,RemediSol,23,DeepAR,M
27-02-2022,21,RemediSol,12,DeepAR,M
30-03-2022,13,RemediSol,19,DeepAR,M
29-04-2022,17,RemediSol,22,DeepAR,M
30-05-2022,18,RemediSol,26,DeepAR,M
29-06-2022,21,RemediSol,25,DeepAR,M
30-07-2022,12,RemediSol,20,DeepAR,M
30-08-2022,24,RemediSol,26,DeepAR,M
29-09-2022,23,RemediSol,16,DeepAR,M
30-10-2022,24,RemediSol,7,DeepAR,M
30-01-2022,282,Vitalisol,386,DeepAR,M
27-02-2022,230,Vitalisol,226,DeepAR,M
30-03-2022,188,Vitalisol,257,DeepAR,M
29-04-2022,103,Vitalisol,259,DeepAR,M
30-05-2022,95,Vitalisol,322,DeepAR,M
29-06-2022,162,Vitalisol,142,DeepAR,M
30-07-2022,209,Vitalisol,115,DeepAR,M
30-08-2022,358,Vitalisol,145,DeepAR,M
29-09-2022,300,Vitalisol,161,DeepAR,M
30-10-2022,371,Vitalisol,37,DeepAR,M
30-01-2022,86,RestoraZen,41.3,DeepAR,M
27-02-2022,195,RestoraZen,69.5,DeepAR,M
30-03-2022,210,RestoraZen,169.5,DeepAR,M
29-04-2022,118,RestoraZen,179.1,DeepAR,M
30-05-2022,114,RestoraZen,135.4,DeepAR,M
29-06-2022,93,RestoraZen,156.04,DeepAR,M
30-07-2022,86,RestoraZen,105.2,DeepAR,M
30-08-2022,74,RestoraZen,97.3,DeepAR,M
29-09-2022,47,RestoraZen,109.1,DeepAR,M
30-10-2022,49,RestoraZen,11.13,DeepAR,M
30-01-2022,148.9057369,RemediMax,179.7,ARIMA,M
27-02-2022,149.307686,RemediMax,133.73,ARIMA,M
30-03-2022,149.4428019,RemediMax,154.52,ARIMA,M
29-04-2022,149.4882213,RemediMax,161.39,ARIMA,M
30-05-2022,149.5034892,RemediMax,168.04,ARIMA,M
29-06-2022,149.5086215,RemediMax,151.54,ARIMA,M
30-07-2022,149.5103467,RemediMax,181,ARIMA,M
30-08-2022,149.5109267,RemediMax,181.91,ARIMA,M
29-09-2022,149.5111216,RemediMax,161.07,ARIMA,M
30-10-2022,149.5111871,RemediMax,44.37,ARIMA,M
30-01-2022,117.3129833,VitaFlux,222.351,ARIMA,M
27-02-2022,117.3129833,VitaFlux,142.155,ARIMA,M
30-03-2022,117.3129833,VitaFlux,113.118,ARIMA,M
29-04-2022,117.3129833,VitaFlux,100.165,ARIMA,M
30-05-2022,117.3129833,VitaFlux,97.258,ARIMA,M
29-06-2022,117.3129833,VitaFlux,101.627,ARIMA,M
30-07-2022,117.3129833,VitaFlux,103.541,ARIMA,M
30-08-2022,117.3129833,VitaFlux,88.269,ARIMA,M
29-09-2022,117.3129833,VitaFlux,111.437,ARIMA,M
30-10-2022,117.3129833,VitaFlux,37.3,ARIMA,M
30-01-2022,89.76985887,SynaptraZol,99.7,ARIMA,M
27-02-2022,89.76985887,SynaptraZol,110.2,ARIMA,M
30-03-2022,89.76985887,SynaptraZol,83.35,ARIMA,M
29-04-2022,89.76985887,SynaptraZol,88.1,ARIMA,M
30-05-2022,89.76985887,SynaptraZol,104.1,ARIMA,M
29-06-2022,89.76985887,SynaptraZol,103.2,ARIMA,M
30-07-2022,89.76985887,SynaptraZol,92.8,ARIMA,M
30-08-2022,89.76985887,SynaptraZol,84.2,ARIMA,M
29-09-2022,89.76985887,SynaptraZol,93.5,ARIMA,M
30-10-2022,89.76985887,SynaptraZol,20.65,ARIMA,M
30-01-2022,1026.983953,NeuroRevive,1660.612,ARIMA,M
27-02-2022,954.891559,NeuroRevive,1001.212,ARIMA,M
30-03-2022,927.0933929,NeuroRevive,941.05,ARIMA,M
29-04-2022,916.3746749,NeuroRevive,647.65,ARIMA,M
30-05-2022,912.2416355,NeuroRevive,703.562,ARIMA,M
29-06-2022,910.6479734,NeuroRevive,610,ARIMA,M
30-07-2022,910.033472,NeuroRevive,649.8,ARIMA,M
30-08-2022,909.7965258,NeuroRevive,518.1,ARIMA,M
29-09-2022,909.7051616,NeuroRevive,984.48,ARIMA,M
30-10-2022,909.6699323,NeuroRevive,295.15,ARIMA,M
30-01-2022,257.6597698,Immunoxen,295.2,ARIMA,M
27-02-2022,260.3781592,Immunoxen,249.4,ARIMA,M
30-03-2022,262.3973138,Immunoxen,301.4,ARIMA,M
29-04-2022,263.8970935,Immunoxen,299.4,ARIMA,M
30-05-2022,265.011094,Immunoxen,265.8,ARIMA,M
29-06-2022,265.8385468,Immunoxen,193,ARIMA,M
30-07-2022,266.453159,Immunoxen,250.6,ARIMA,M
30-08-2022,266.9096783,Immunoxen,237,ARIMA,M
29-09-2022,267.2487698,Immunoxen,227.8,ARIMA,M
30-10-2022,267.5006389,Immunoxen,86,ARIMA,M
30-01-2022,21.28473519,RemediSol,23,ARIMA,M
27-02-2022,19.17861955,RemediSol,12,ARIMA,M
30-03-2022,18.40250099,RemediSol,19,ARIMA,M
29-04-2022,18.1164958,RemediSol,22,ARIMA,M
30-05-2022,18.01110085,RemediSol,26,ARIMA,M
29-06-2022,17.97226207,RemediSol,25,ARIMA,M
30-07-2022,17.9579497,RemediSol,20,ARIMA,M
30-08-2022,17.95267549,RemediSol,26,ARIMA,M
29-09-2022,17.95073191,RemediSol,16,ARIMA,M
30-10-2022,17.95001568,RemediSol,7,ARIMA,M
30-01-2022,299.0727545,Vitalisol,386,ARIMA,M
27-02-2022,291.9103506,Vitalisol,226,ARIMA,M
30-03-2022,251.9876025,Vitalisol,257,ARIMA,M
29-04-2022,267.5545265,Vitalisol,259,ARIMA,M
30-05-2022,241.7396062,Vitalisol,322,ARIMA,M
29-06-2022,263.2963777,Vitalisol,142,ARIMA,M
30-07-2022,242.3942413,Vitalisol,115,ARIMA,M
30-08-2022,265.013408,Vitalisol,145,ARIMA,M
29-09-2022,246.2640902,Vitalisol,161,ARIMA,M
30-10-2022,268.5182229,Vitalisol,37,ARIMA,M
30-01-2022,50.89464102,RestoraZen,41.3,ARIMA,M
27-02-2022,56.78883506,RestoraZen,69.5,ARIMA,M
30-03-2022,67.66036134,RestoraZen,169.5,ARIMA,M
29-04-2022,79.89330656,RestoraZen,179.1,ARIMA,M
30-05-2022,90.33082455,RestoraZen,135.4,ARIMA,M
29-06-2022,96.91547406,RestoraZen,156.04,ARIMA,M
30-07-2022,98.93442159,RestoraZen,105.2,ARIMA,M
30-08-2022,96.89709788,RestoraZen,97.3,ARIMA,M
29-09-2022,92.1530128,RestoraZen,109.1,ARIMA,M
30-10-2022,86.39509981,RestoraZen,11.13,ARIMA,M

