date,forecast,variable,actual,model,granularity
2022-01-30,41.0,RemediSol,23.0,DeepAR,M
2022-02-27,21.0,RemediSol,12.0,DeepAR,M
2022-03-30,13.0,RemediSol,19.0,DeepAR,M
2022-04-29,17.0,RemediSol,22.0,DeepAR,M
2022-01-30,282.0,Vitalisol,386.0,DeepAR,M
2022-02-27,230.0,Vitalisol,226.0,DeepAR,M
2022-03-30,188.0,Vitalisol,257.0,DeepAR,M
2022-04-29,103.0,Vitalisol,259.0,DeepAR,M
2022-01-30,86.0,RestoraZen,41.3,DeepAR,M
2022-02-27,195.0,RestoraZen,69.5,DeepAR,M
2022-03-30,210.0,RestoraZen,169.5,DeepAR,M
2022-04-29,118.0,RestoraZen,179.1,DeepAR,M
2022-01-30,148.9057369,RemediMax,179.7,ARIMA,M
2022-02-27,149.307686,RemediMax,133.73,ARIMA,M
2022-03-30,149.4428019,RemediMax,154.52,ARIMA,M
2022-04-29,149.4882213,RemediMax,161.39,ARIMA,M
2022-01-30,117.3129833,VitaFlux,222.351,ARIMA,M
2022-02-27,117.3129833,VitaFlux,142.155,ARIMA,M
2022-03-30,117.3129833,VitaFlux,113.118,ARIMA,M
2022-04-29,117.3129833,VitaFlux,100.165,ARIMA,M
2022-01-30,89.76985887,SynaptraZol,99.7,ARIMA,M
2022-02-27,89.76985887,SynaptraZol,110.2,ARIMA,M
2022-03-30,89.76985887,SynaptraZol,83.35,ARIMA,M
2022-04-29,89.76985887,SynaptraZol,88.1,ARIMA,M
2022-01-30,1026.983953,NeuroRevive,1660.612,ARIMA,M
2022-02-27,954.891559,NeuroRevive,1001.212,ARIMA,M
2022-03-30,927.0933929,NeuroRevive,941.05,ARIMA,M
2022-04-29,916.3746749,NeuroRevive,647.65,ARIMA,M
2022-01-30,257.6597698,Immunoxen,295.2,ARIMA,M
2022-02-27,260.3781592,Immunoxen,249.4,ARIMA,M
2022-03-30,262.3973138,Immunoxen,301.4,ARIMA,M
2022-04-29,263.8970935,Immunoxen,299.4,ARIMA,M
2022-01-30,21.28473519,RemediSol,23.0,ARIMA,M
2022-02-27,19.17861955,RemediSol,12.0,ARIMA,M
2022-03-30,18.40250099,RemediSol,19.0,ARIMA,M
2022-04-29,18.1164958,RemediSol,22.0,ARIMA,M
2022-01-30,299.0727545,Vitalisol,386.0,ARIMA,M
2022-02-27,291.9103506,Vitalisol,226.0,ARIMA,M
2022-03-30,251.9876025,Vitalisol,257.0,ARIMA,M
2022-04-29,267.5545265,Vitalisol,259.0,ARIMA,M
2022-01-30,50.89464102,RestoraZen,41.3,ARIMA,M
2022-02-27,56.78883506,RestoraZen,69.5,ARIMA,M
2022-03-30,67.66036134,RestoraZen,169.5,ARIMA,M
2022-04-29,79.89330656,RestoraZen,179.1,ARIMA,M
