,datum,RemediMax,VitaFlux,SynaptraZol,NeuroRevive,Immunoxen,RemediSol,Vitalisol,RestoraZen,Year,Month,Hour,Weekday Name
29,2017-01-30,1.0,2.68,7.1,26.9,9.0,0.0,1.0,0.0,2017,1,276,Monday
30,2017-01-31,4.33,4.32,5.0,43.0,13.0,1.0,14.0,0.0,2017,2,276,Tuesday
31,2017-02-01,7.0,3.0,0.2,13.5,6.0,2.0,8.0,0.0,2017,2,276,Wednesday
32,2017-02-02,5.0,1.0,8.5,32.4,16.0,1.0,1.0,0.0,2017,2,276,Thursday
33,2017-02-03,1.33,3.0,7.0,30.6,8.0,1.0,17.0,2.0,2017,2,276,Friday
34,2017-02-04,3.0,4.02,6.2,32.4,15.0,1.0,1.0,1.0,2017,2,276,Saturday
35,2017-02-05,3.33,6.68,3.5,41.4,17.0,2.0,5.0,2.0,2017,2,276,Sunday
36,2017-02-06,2.66,8.67,11.7,21.4,19.0,1.0,0.0,0.0,2017,2,276,Monday
37,2017-02-07,3.33,3.35,14.4,37.1,13.0,1.0,1.0,1.0,2017,2,276,Tuesday
38,2017-02-08,4.0,3.0,2.0,31.5,10.0,0.0,6.0,0.0,2017,2,276,Wednesday
39,2017-02-09,5.0,10.33,8.5,40.1,20.0,3.0,3.0,1.0,2017,2,276,Thursday
40,2017-02-10,10.0,6.99,13.3,44.6,20.0,2.0,6.0,2.2,2017,2,276,Friday
41,2017-02-11,9.0,1.67,9.1,73.6,9.0,0.0,5.0,0.0,2017,2,276,Saturday
42,2017-02-12,4.33,3.67,10.0,49.1,13.0,3.0,0.0,1.0,2017,2,276,Sunday
43,2017-02-13,4.0,4.01,3.2,42.3,13.0,4.0,0.0,6.0,2017,2,276,Monday
44,2017-02-14,1.0,2.34,2.0,37.0,9.0,0.0,1.0,5.0,2017,2,276,Tuesday
45,2017-02-15,0.0,1.68,1.2,34.0,5.0,2.0,3.0,1.0,2017,2,276,Wednesday
46,2017-02-16,7.34,4.0,12.7,27.0,13.0,1.0,7.0,0.0,2017,2,276,Thursday
47,2017-02-17,7.34,7.36,6.1,45.0,14.0,0.0,13.0,5.0,2017,2,276,Friday
48,2017-02-18,3.33,5.02,5.5,66.8,17.0,1.0,6.0,1.0,2017,2,276,Saturday
49,2017-02-19,7.0,7.02,3.2,21.5,16.0,3.0,8.0,1.0,2017,2,276,Sunday
50,2017-02-20,6.0,4.34,9.0,25.4,17.0,0.0,0.0,0.0,2017,2,276,Monday
51,2017-02-21,7.0,3.17,5.7,26.0,12.0,0.0,1.0,0.0,2017,2,276,Tuesday
52,2017-02-22,1.0,3.34,2.0,21.0,10.0,0.0,0.0,0.0,2017,2,276,Wednesday
53,2017-02-23,7.0,4.68,5.5,26.5,4.0,0.0,0.0,3.0,2017,2,276,Thursday
54,2017-02-24,5.0,1.68,11.2,34.5,13.0,0.0,0.0,2.0,2017,2,276,Friday
55,2017-02-25,5.0,4.01,1.0,34.0,5.0,0.0,12.0,1.0,2017,2,276,Saturday
56,2017-02-26,3.0,6.34,4.0,33.2,8.0,1.0,2.0,1.0,2017,2,276,Sunday
57,2017-02-27,7.0,7.36,5.3,37.0,12.0,1.0,2.0,0.0,2017,2,276,Monday
58,2017-02-28,6.34,3.68,11.355,50.7,8.0,0.0,0.0,2.1,2017,3,276,Tuesday
59,2017-03-01,3.34,1.0,2.0,6.6,2.0,0.0,0.0,1.0,2017,3,276,Wednesday
60,2017-03-02,4.0,3.68,1.6,22.1,1.0,2.0,0.0,2.2,2017,3,276,Thursday
61,2017-03-03,5.34,7.02,7.2,47.275,9.0,0.0,5.0,4.0,2017,3,276,Friday
62,2017-03-04,3.34,1.0,3.0,25.0,4.0,0.0,1.0,0.0,2017,3,276,Saturday
63,2017-03-05,3.0,2.0,5.5,44.1,17.0,1.0,5.0,1.0,2017,3,276,Sunday
64,2017-03-06,4.0,4.34,9.5,25.0,3.0,1.0,0.0,2.0,2017,3,276,Monday
65,2017-03-07,4.34,3.07,1.0,27.6,11.0,0.0,0.0,0.0,2017,3,276,Tuesday
66,2017-03-08,1.0,0.0,4.0,11.3,3.0,0.0,5.0,0.0,2017,3,276,Wednesday
67,2017-03-09,6.68,5.35,3.8,47.0,11.0,0.0,0.0,2.0,2017,3,276,Thursday
68,2017-03-10,6.0,5.7,7.0,30.4,12.0,1.0,1.0,5.0,2017,3,276,Friday
69,2017-03-11,6.34,2.68,6.5,19.6,22.0,3.0,2.0,2.0,2017,3,276,Saturday
70,2017-03-12,2.31,4.36,5.3,15.5,10.0,0.0,26.0,2.0,2017,3,276,Sunday
71,2017-03-13,4.34,1.68,1.2,16.0,11.0,0.0,1.0,2.0,2017,3,276,Monday
72,2017-03-14,4.0,2.0,11.0,23.3,18.0,1.0,6.0,2.0,2017,3,276,Tuesday
73,2017-03-15,2.68,2.0,1.4,13.0,6.0,0.0,0.0,4.0,2017,3,276,Wednesday
74,2017-03-16,8.68,3.34,7.0,37.0,6.0,1.0,0.0,1.0,2017,3,276,Thursday
75,2017-03-17,8.0,4.0,5.0,20.1,9.0,0.0,0.0,4.0,2017,3,276,Friday
76,2017-03-18,4.0,3.02,4.0,21.8,2.0,0.0,0.0,2.0,2017,3,276,Saturday
77,2017-03-19,3.0,5.34,1.6,38.2,5.0,0.0,7.0,4.2,2017,3,276,Sunday
78,2017-03-20,6.0,3.68,4.5,40.0,4.0,0.0,2.0,1.0,2017,3,276,Monday
79,2017-03-21,3.34,2.34,0.0,26.3,10.0,2.0,18.0,8.4,2017,3,276,Tuesday
80,2017-03-22,6.34,2.0,4.0,19.4,0.0,1.0,0.0,3.0,2017,3,276,Wednesday
81,2017-03-23,5.68,1.0,4.0,23.6,7.0,0.0,6.0,3.5,2017,3,276,Thursday
82,2017-03-24,4.0,1.34,9.0,38.6,7.0,0.0,1.0,1.0,2017,3,276,Friday
83,2017-03-25,2.34,3.99,9.0,6.7,7.0,3.0,3.0,0.0,2017,3,276,Saturday
84,2017-03-26,4.0,0.33,2.0,20.7,6.0,1.0,1.0,5.0,2017,3,276,Sunday
85,2017-03-27,2.67,2.0,8.0,11.0,3.0,0.0,9.0,5.0,2017,3,276,Monday
86,2017-03-28,4.0,6.33,4.2,24.0,8.0,2.0,9.0,3.0,2017,3,276,Tuesday
87,2017-03-29,3.0,2.34,0.0,12.0,4.0,0.0,0.0,7.0,2017,3,276,Wednesday
88,2017-03-30,5.34,2.34,4.0,15.4,6.0,1.0,4.0,6.0,2017,3,276,Thursday
89,2017-03-31,4.34,1.34,6.5,27.5,5.0,3.0,3.0,1.0,2017,4,276,Friday
90,2017-04-01,2.0,4.68,8.9,23.0,1.0,0.0,7.0,3.0,2017,4,276,Saturday
91,2017-04-02,1.0,1.34,3.0,19.2,4.0,0.0,0.0,4.0,2017,4,276,Sunday
92,2017-04-03,3.0,3.67,3.0,24.0,9.0,3.0,8.0,2.0,2017,4,276,Monday
93,2017-04-04,2.0,7.68,10.0,25.6,5.0,0.0,5.0,3.0,2017,4,276,Tuesday
94,2017-04-05,2.0,1.0,1.0,19.0,1.0,0.0,0.0,1.0,2017,4,276,Wednesday
95,2017-04-06,6.34,6.0,6.5,31.5,4.0,0.0,0.0,1.0,2017,4,276,Thursday
96,2017-04-07,4.34,2.34,1.7,19.0,6.0,1.0,0.0,4.7,2017,4,276,Friday
97,2017-04-08,6.0,1.02,1.0,18.0,2.0,1.0,2.0,2.6,2017,4,276,Saturday
98,2017-04-09,3.33,1.68,1.0,18.0,10.0,0.0,4.0,4.0,2017,4,276,Sunday
99,2017-04-10,6.0,4.0,3.0,25.0,2.0,2.0,0.0,2.0,2017,4,276,Monday
100,2017-04-11,7.02,3.34,6.0,23.5,19.0,0.0,11.0,4.0,2017,4,276,Tuesday
101,2017-04-12,3.0,2.0,2.0,6.0,3.0,0.0,5.0,2.0,2017,4,276,Wednesday
102,2017-04-13,1.34,4.68,5.35,28.28,10.0,0.0,5.0,5.0,2017,4,276,Thursday
103,2017-04-14,4.34,3.0,6.4,18.7,12.0,0.0,10.0,1.0,2017,4,276,Friday
104,2017-04-15,2.0,1.01,4.2,25.62,1.0,0.0,6.0,4.0,2017,4,276,Saturday
105,2017-04-16,5.34,0.34,7.2,16.0,19.0,0.0,0.0,0.0,2017,4,276,Sunday
106,2017-04-17,7.0,7.0,8.0,23.3,10.0,1.0,0.0,5.0,2017,4,276,Monday
107,2017-04-18,7.34,3.35,4.0,22.3,7.0,0.0,3.0,5.0,2017,4,276,Tuesday
108,2017-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,4,276,Wednesday
109,2017-04-20,1.34,1.68,2.1,13.5,8.0,0.0,0.0,1.0,2017,4,276,Thursday
110,2017-04-21,5.34,7.165,3.3,32.0,8.0,1.0,0.0,1.0,2017,4,276,Friday
111,2017-04-22,6.34,2.34,3.0,24.9,8.0,1.0,2.0,1.0,2017,4,276,Saturday
112,2017-04-23,2.0,2.0,1.1,26.0,6.0,0.0,6.0,2.0,2017,4,276,Sunday
113,2017-04-24,3.0,2.02,5.0,24.9,10.0,1.0,1.0,3.0,2017,4,276,Monday
114,2017-04-25,4.34,2.67,5.5,35.0,12.0,1.0,6.0,4.0,2017,4,276,Tuesday
115,2017-04-26,4.0,2.34,2.0,26.2,2.0,0.0,1.0,1.0,2017,4,276,Wednesday
116,2017-04-27,1.34,3.09,3.0,29.1,8.0,2.0,0.0,2.0,2017,4,276,Thursday
117,2017-04-28,3.33,4.02,4.4,30.3,6.0,1.0,5.0,0.4,2017,4,276,Friday
118,2017-04-29,4.34,2.68,7.0,43.1,11.0,0.0,7.0,4.0,2017,4,276,Saturday
119,2017-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,5,276,Sunday
120,2017-05-01,7.34,7.34,6.3,39.5,16.0,1.0,12.0,2.0,2017,5,276,Monday
121,2017-05-02,4.0,5.34,2.0,14.6,5.0,2.0,0.0,2.5,2017,5,276,Tuesday
122,2017-05-03,1.67,4.69,1.2,20.0,3.0,0.0,0.0,3.0,2017,5,276,Wednesday
123,2017-05-04,3.0,5.785,5.0,20.0,7.0,0.0,3.0,4.0,2017,5,276,Thursday
124,2017-05-05,7.34,4.36,4.0,22.0,10.0,2.0,6.0,5.0,2017,5,276,Friday
125,2017-05-06,3.33,6.32,3.0,16.8,8.0,1.0,3.0,11.0,2017,5,276,Saturday
126,2017-05-07,2.0,2.34,3.4,20.4,10.0,3.0,0.0,5.0,2017,5,276,Sunday
127,2017-05-08,2.0,5.0,4.2,16.0,12.0,2.0,1.0,2.0,2017,5,276,Monday
128,2017-05-09,5.0,6.0,9.0,39.4,15.0,3.0,1.0,5.0,2017,5,276,Tuesday
129,2017-05-10,2.0,2.68,1.0,17.0,7.0,0.0,1.0,4.0,2017,5,276,Wednesday
130,2017-05-11,4.34,3.34,9.0,12.0,8.0,0.0,5.0,2.0,2017,5,276,Thursday
131,2017-05-12,3.68,0.34,6.2,32.0,7.0,0.0,25.0,7.5,2017,5,276,Friday
132,2017-05-13,1.0,4.02,6.0,24.3,4.0,0.0,0.0,3.0,2017,5,276,Saturday
133,2017-05-14,2.34,2.02,3.0,19.3,7.0,0.0,1.0,2.0,2017,5,276,Sunday
134,2017-05-15,5.34,7.0,3.0,22.0,10.0,1.0,11.0,1.0,2017,5,276,Monday
135,2017-05-16,2.34,7.68,3.0,35.0,14.0,1.0,0.0,2.0,2017,5,276,Tuesday
136,2017-05-17,3.34,2.0,5.0,9.4,6.0,0.0,0.0,1.0,2017,5,276,Wednesday
137,2017-05-18,8.34,3.84,6.1,12.8,5.0,0.0,3.0,9.0,2017,5,276,Thursday
138,2017-05-19,1.0,2.375,7.0,27.0,10.0,1.0,0.0,3.6,2017,5,276,Friday
139,2017-05-20,2.0,4.68,9.5,15.4,6.0,1.0,0.0,3.0,2017,5,276,Saturday
140,2017-05-21,3.68,1.33,1.2,8.0,8.0,0.0,2.0,4.0,2017,5,276,Sunday
141,2017-05-22,5.0,2.34,3.9,17.5,8.0,2.0,10.0,7.0,2017,5,276,Monday
142,2017-05-23,3.0,4.713,5.0,28.0,11.0,1.0,0.0,9.0,2017,5,276,Tuesday
143,2017-05-24,2.0,3.0,1.0,7.0,8.0,0.0,5.0,1.0,2017,5,276,Wednesday
144,2017-05-25,2.68,3.34,7.4,18.0,7.0,1.0,0.0,5.0,2017,5,276,Thursday
145,2017-05-26,0.0,2.34,5.0,28.6,12.0,1.0,1.0,6.0,2017,5,276,Friday
146,2017-05-27,1.34,5.02,1.4,10.28,9.0,0.0,2.0,5.1,2017,5,276,Saturday
147,2017-05-28,4.0,5.34,6.3,27.0,13.0,0.0,0.0,2.0,2017,5,276,Sunday
148,2017-05-29,3.02,2.02,2.0,21.5,14.0,0.0,0.0,5.0,2017,5,276,Monday
149,2017-05-30,5.67,3.34,2.0,28.0,10.0,0.0,15.0,2.0,2017,5,276,Tuesday
150,2017-05-31,1.0,0.68,1.0,10.0,4.0,1.0,1.0,3.0,2017,6,276,Wednesday
151,2017-06-01,4.0,4.34,10.0,23.3,16.0,3.0,0.0,3.0,2017,6,276,Thursday
152,2017-06-02,3.0,2.0,2.4,24.0,7.0,2.0,5.0,3.0,2017,6,276,Friday
153,2017-06-03,1.0,4.68,3.5,24.0,6.0,0.0,1.0,2.5,2017,6,276,Saturday
154,2017-06-04,0.34,4.68,4.5,22.5,4.0,0.0,0.0,5.0,2017,6,276,Sunday
155,2017-06-05,5.0,1.68,3.0,16.625,15.0,2.0,1.0,5.0,2017,6,276,Monday
156,2017-06-06,9.0,3.68,7.5,33.0,8.0,1.0,6.0,7.0,2017,6,276,Tuesday
157,2017-06-07,1.0,2.0,3.0,11.0,8.0,0.0,6.0,2.0,2017,6,276,Wednesday
158,2017-06-08,6.33,1.34,5.0,18.0,17.0,4.0,0.0,11.0,2017,6,276,Thursday
159,2017-06-09,8.68,2.68,4.3,23.0,16.0,2.0,2.0,6.5,2017,6,276,Friday
160,2017-06-10,4.34,0.68,2.3,12.5,16.0,2.0,12.0,9.0,2017,6,276,Saturday
161,2017-06-11,4.34,3.0,1.0,15.8,12.0,0.0,2.0,3.0,2017,6,276,Sunday
162,2017-06-12,1.0,2.68,5.0,10.0,11.0,0.0,3.0,1.0,2017,6,276,Monday
163,2017-06-13,4.0,5.02,6.0,8.0,10.0,0.0,1.0,3.0,2017,6,276,Tuesday
164,2017-06-14,0.34,2.0,0.0,8.0,5.0,0.0,0.0,3.3,2017,6,276,Wednesday
165,2017-06-15,4.34,4.34,7.4,12.2,11.0,0.0,5.0,5.0,2017,6,276,Thursday
166,2017-06-16,5.0,2.34,4.0,14.0,12.0,2.0,0.0,3.0,2017,6,276,Friday
167,2017-06-17,2.0,2.0,4.7,18.0,6.0,0.0,1.0,3.0,2017,6,276,Saturday
168,2017-06-18,3.0,3.33,1.0,14.0,8.0,0.0,0.0,1.0,2017,6,276,Sunday
169,2017-06-19,7.34,2.02,3.0,14.5,9.0,0.0,3.0,6.0,2017,6,276,Monday
170,2017-06-20,6.0,5.68,2.0,16.0,12.0,3.0,0.0,3.0,2017,6,276,Tuesday
171,2017-06-21,4.0,1.02,4.0,18.0,8.0,0.0,2.0,3.0,2017,6,276,Wednesday
172,2017-06-22,2.34,7.68,3.0,25.2,12.0,0.0,2.0,3.0,2017,6,276,Thursday
173,2017-06-23,3.0,5.14,4.0,16.2,23.0,0.0,2.0,4.0,2017,6,276,Friday
174,2017-06-24,8.0,5.34,7.0,33.8,19.0,0.0,0.0,1.0,2017,6,276,Saturday
175,2017-06-25,3.0,2.0,11.3,19.3,14.0,0.0,0.0,1.0,2017,6,276,Sunday
176,2017-06-26,4.34,1.0,6.0,32.3,13.0,0.0,1.0,3.0,2017,6,276,Monday
177,2017-06-27,0.34,5.34,5.0,20.0,14.0,1.0,1.0,5.0,2017,6,276,Tuesday
178,2017-06-28,0.0,1.0,1.0,10.0,1.0,0.0,0.0,1.0,2017,6,276,Wednesday
179,2017-06-29,6.0,5.34,1.0,25.0,6.0,0.0,0.0,0.0,2017,6,276,Thursday
180,2017-06-30,4.34,2.34,2.0,19.0,10.0,0.0,0.0,2.0,2017,7,276,Friday
181,2017-07-01,3.0,0.34,4.0,21.6,7.0,0.0,6.0,3.0,2017,7,276,Saturday
182,2017-07-02,2.33,5.68,7.0,12.5,7.0,2.0,0.0,2.0,2017,7,276,Sunday
183,2017-07-03,4.34,4.7,7.0,10.5,14.0,0.0,2.0,3.0,2017,7,276,Monday
184,2017-07-04,3.34,4.34,6.0,37.0,11.0,1.0,0.0,0.0,2017,7,276,Tuesday
185,2017-07-05,4.0,2.0,3.0,10.2,9.0,0.0,0.0,0.0,2017,7,276,Wednesday
186,2017-07-06,2.0,3.34,4.0,13.0,11.0,0.0,0.0,4.0,2017,7,276,Thursday
187,2017-07-07,6.34,2.34,3.0,14.0,3.0,0.0,5.0,1.0,2017,7,276,Friday
188,2017-07-08,3.0,6.34,5.0,13.0,6.0,4.0,0.0,2.2,2017,7,276,Saturday
189,2017-07-09,2.33,4.66,8.0,21.2,32.0,0.0,5.0,4.0,2017,7,276,Sunday
190,2017-07-10,2.0,1.68,3.2,16.5,17.0,0.0,5.0,1.0,2017,7,276,Monday
191,2017-07-11,8.34,2.68,10.5,28.1,12.0,3.0,12.0,4.0,2017,7,276,Tuesday
192,2017-07-12,2.0,1.34,1.0,17.0,2.0,0.0,0.0,0.0,2017,7,276,Wednesday
193,2017-07-13,5.0,3.04,3.0,11.8,19.0,1.0,2.0,2.0,2017,7,276,Thursday
194,2017-07-14,3.34,1.68,1.0,15.6,18.0,0.0,0.0,1.3,2017,7,276,Friday
195,2017-07-15,4.0,3.34,3.0,13.0,12.0,1.0,4.0,0.0,2017,7,276,Saturday
196,2017-07-16,2.0,3.0,5.0,25.0,14.0,1.0,0.0,1.0,2017,7,276,Sunday
197,2017-07-17,9.0,2.34,1.5,14.2,6.0,3.0,0.0,4.0,2017,7,276,Monday
198,2017-07-18,7.33,7.02,6.0,8.4,10.0,0.0,6.0,6.0,2017,7,276,Tuesday
199,2017-07-19,3.0,0.34,1.0,8.0,5.0,0.0,0.0,0.1,2017,7,276,Wednesday
200,2017-07-20,3.0,4.68,8.0,20.0,13.0,1.0,0.0,2.0,2017,7,276,Thursday
201,2017-07-21,5.0,5.68,3.0,9.0,7.0,0.0,1.0,2.0,2017,7,276,Friday
202,2017-07-22,2.67,6.37,2.0,8.0,19.0,0.0,0.0,3.0,2017,7,276,Saturday
203,2017-07-23,5.34,2.0,4.4,23.0,5.0,0.0,0.0,2.0,2017,7,276,Sunday
204,2017-07-24,5.0,2.02,7.5,10.0,15.0,1.0,1.0,2.0,2017,7,276,Monday
205,2017-07-25,4.0,6.68,6.2,36.2,13.0,0.0,0.0,4.0,2017,7,276,Tuesday
206,2017-07-26,3.0,1.34,2.0,10.0,5.0,0.0,6.0,1.0,2017,7,276,Wednesday
207,2017-07-27,2.0,1.34,2.0,9.1,9.0,0.0,0.0,2.0,2017,7,276,Thursday
208,2017-07-28,2.34,0.68,1.0,13.0,15.0,3.0,0.0,5.0,2017,7,276,Friday
209,2017-07-29,0.68,1.34,5.0,13.5,14.0,0.0,6.0,4.5,2017,7,276,Saturday
210,2017-07-30,3.0,0.34,4.0,10.5,8.0,0.0,0.0,1.0,2017,7,276,Sunday
211,2017-07-31,2.0,1.0,2.2,14.0,17.0,1.0,0.0,1.0,2017,8,276,Monday
212,2017-08-01,5.0,2.01,6.0,29.0,12.0,0.0,5.0,3.0,2017,8,276,Tuesday
213,2017-08-02,5.0,1.0,3.0,6.0,5.0,5.0,0.0,0.0,2017,8,276,Wednesday
214,2017-08-03,4.0,5.02,6.0,21.5,14.0,0.0,0.0,4.0,2017,8,276,Thursday
215,2017-08-04,2.0,1.34,3.0,17.1,9.0,0.0,0.0,0.0,2017,8,276,Friday
216,2017-08-05,6.0,5.0,1.4,17.0,7.0,1.0,1.0,1.0,2017,8,276,Saturday
217,2017-08-06,3.34,2.68,3.0,33.0,13.0,1.0,0.0,2.0,2017,8,276,Sunday
218,2017-08-07,5.02,4.02,5.0,13.0,12.0,3.0,2.0,2.0,2017,8,276,Monday
219,2017-08-08,4.0,1.34,6.0,19.0,24.0,3.0,0.0,5.9,2017,8,276,Tuesday
220,2017-08-09,4.0,0.34,4.0,3.0,4.0,0.0,0.0,2.0,2017,8,276,Wednesday
221,2017-08-10,8.0,5.36,9.2,20.0,18.0,0.0,0.0,2.0,2017,8,276,Thursday
222,2017-08-11,0.0,1.36,4.5,10.0,8.0,1.0,0.0,4.6,2017,8,276,Friday
223,2017-08-12,1.34,3.34,1.0,20.3,11.0,0.0,0.0,7.0,2017,8,276,Saturday
224,2017-08-13,4.0,2.34,6.0,14.4,13.0,0.0,0.0,6.0,2017,8,276,Sunday
225,2017-08-14,4.34,4.02,7.0,13.2,15.0,2.0,3.0,2.0,2017,8,276,Monday
226,2017-08-15,8.0,2.43,5.0,19.0,27.0,2.0,0.0,1.0,2017,8,276,Tuesday
227,2017-08-16,0.34,0.68,2.0,6.5,7.0,0.0,0.0,1.0,2017,8,276,Wednesday
228,2017-08-17,4.34,6.0,3.1,16.5,21.0,3.0,10.0,2.0,2017,8,276,Thursday
229,2017-08-18,11.34,6.35,5.0,16.1,13.0,1.0,3.0,1.1,2017,8,276,Friday
230,2017-08-19,5.34,5.34,1.4,9.0,10.0,2.0,0.0,1.0,2017,8,276,Saturday
231,2017-08-20,3.0,1.0,2.0,18.0,16.0,1.0,0.0,2.2,2017,8,276,Sunday
232,2017-08-21,6.34,1.34,5.0,19.0,15.0,0.0,0.0,1.0,2017,8,276,Monday
233,2017-08-22,3.0,3.02,1.0,25.6,5.0,0.0,0.0,4.0,2017,8,276,Tuesday
234,2017-08-23,3.0,2.175,3.0,7.0,12.0,0.0,1.0,0.0,2017,8,276,Wednesday
235,2017-08-24,4.01,3.175,3.0,21.2,21.0,0.0,0.0,0.0,2017,8,276,Thursday
236,2017-08-25,2.34,5.34,3.0,31.0,14.0,1.0,1.0,3.0,2017,8,276,Friday
237,2017-08-26,3.34,8.02,4.0,21.0,14.0,0.0,0.0,3.0,2017,8,276,Saturday
238,2017-08-27,2.34,5.36,6.0,32.67,19.0,0.0,4.0,0.0,2017,8,276,Sunday
239,2017-08-28,6.34,3.68,5.0,26.28,18.0,1.0,0.0,3.0,2017,8,276,Monday
240,2017-08-29,3.68,3.02,7.0,13.0,13.0,1.0,0.0,4.0,2017,8,276,Tuesday
241,2017-08-30,0.0,2.68,1.0,15.0,13.0,0.0,7.0,2.0,2017,8,276,Wednesday
242,2017-08-31,3.34,1.715,1.0,15.5,15.0,0.0,0.0,5.5,2017,9,276,Thursday
243,2017-09-01,2.34,4.68,5.2,20.14,7.0,0.0,2.0,3.0,2017,9,276,Friday
244,2017-09-02,7.0,6.34,4.0,22.18,12.0,0.0,2.0,3.0,2017,9,276,Saturday
245,2017-09-03,5.68,5.34,3.0,17.6,21.0,1.0,0.0,1.0,2017,9,276,Sunday
246,2017-09-04,4.0,0.779,3.0,15.6,15.0,2.0,0.0,2.0,2017,9,276,Monday
247,2017-09-05,5.34,5.0,2.4,15.7,30.0,2.0,5.0,3.1,2017,9,276,Tuesday
248,2017-09-06,2.0,5.515,5.0,7.0,9.0,0.0,0.0,1.0,2017,9,276,Wednesday
249,2017-09-07,1.0,5.36,3.5,20.8,15.0,0.0,1.0,4.0,2017,9,276,Thursday
250,2017-09-08,6.34,2.34,4.0,29.2,17.0,0.0,2.0,1.2,2017,9,276,Friday
251,2017-09-09,4.34,3.34,3.5,37.8,12.0,0.0,0.0,1.0,2017,9,276,Saturday
252,2017-09-10,0.0,1.34,4.0,32.2,15.0,0.0,10.0,0.0,2017,9,276,Sunday
253,2017-09-11,2.68,2.67,1.0,20.0,19.0,0.0,8.0,1.0,2017,9,276,Monday
254,2017-09-12,3.0,5.36,4.4,56.85,20.0,0.0,1.0,3.0,2017,9,276,Tuesday
255,2017-09-13,1.34,2.0,2.0,19.5,6.0,0.0,6.0,0.0,2017,9,276,Wednesday
256,2017-09-14,1.34,3.0,5.4,28.2,9.0,0.0,1.0,0.0,2017,9,276,Thursday
257,2017-09-15,4.0,2.68,0.0,59.3,13.0,0.0,0.0,0.0,2017,9,276,Friday
258,2017-09-16,2.34,6.0,4.0,39.6,11.0,2.0,19.0,4.0,2017,9,276,Saturday
259,2017-09-17,3.0,2.02,1.0,44.0,7.0,0.0,0.0,1.0,2017,9,276,Sunday
260,2017-09-18,2.0,4.34,7.8,23.0,8.0,0.0,22.0,0.0,2017,9,276,Monday
